frame: 0, time: 0, x: 0
frame: 217, time: 3.61667, x: -0.457404
frame: 218, time: 3.63333, x: -0.472161
frame: 219, time: 3.65, x: -0.486787
frame: 220, time: 3.66667, x: -0.501277
frame: 221, time: 3.68333, x: -0.515628
frame: 222, time: 3.7, x: -0.529836
frame: 223, time: 3.71667, x: -0.543897
frame: 224, time: 3.73333, x: -0.557807
frame: 225, time: 3.75, x: -0.571561
frame: 226, time: 3.76667, x: -0.585157
frame: 227, time: 3.78333, x: -0.598591
frame: 228, time: 3.8, x: -0.611858
frame: 229, time: 3.81667, x: -0.624955
frame: 230, time: 3.83333, x: -0.637879
frame: 231, time: 3.85, x: -0.650625
frame: 232, time: 3.86667, x: -0.663191
frame: 233, time: 3.88333, x: -0.675572
frame: 234, time: 3.9, x: -0.687766
frame: 235, time: 3.91667, x: -0.699769
frame: 236, time: 3.93333, x: -0.711577
frame: 237, time: 3.95, x: -0.723188
frame: 238, time: 3.96667, x: -0.734598
frame: 239, time: 3.98333, x: -0.745804
frame: 240, time: 4, x: -0.756802
frame: 241, time: 4.01667, x: -0.767591
frame: 242, time: 4.03333, x: -0.778166
frame: 243, time: 4.05, x: -0.788525
frame: 244, time: 4.06667, x: -0.798665
frame: 245, time: 4.08333, x: -0.808584
frame: 246, time: 4.1, x: -0.818277
frame: 247, time: 4.11667, x: -0.827743
frame: 248, time: 4.13333, x: -0.83698
frame: 249, time: 4.15, x: -0.845984
frame: 250, time: 4.16667, x: -0.854753
frame: 251, time: 4.18333, x: -0.863284
frame: 252, time: 4.2, x: -0.871576
frame: 253, time: 4.21667, x: -0.879625
frame: 254, time: 4.23333, x: -0.887431
frame: 255, time: 4.25, x: -0.894989
frame: 256, time: 4.26667, x: -0.9023
frame: 257, time: 4.28333, x: -0.909359
frame: 258, time: 4.3, x: -0.916166
frame: 259, time: 4.31667, x: -0.922718
frame: 260, time: 4.33333, x: -0.929015
frame: 261, time: 4.35, x: -0.935053
frame: 262, time: 4.36667, x: -0.940831
frame: 263, time: 4.38333, x: -0.946348
frame: 264, time: 4.4, x: -0.951602
frame: 265, time: 4.41667, x: -0.956592
frame: 266, time: 4.43333, x: -0.961316
frame: 267, time: 4.45, x: -0.965773
frame: 268, time: 4.46667, x: -0.969962
frame: 269, time: 4.48333, x: -0.973881
frame: 270, time: 4.5, x: -0.97753
frame: 271, time: 4.51667, x: -0.980907
frame: 272, time: 4.53333, x: -0.984012
frame: 273, time: 4.55, x: -0.986844
frame: 274, time: 4.56667, x: -0.989401
frame: 275, time: 4.58333, x: -0.991684
frame: 276, time: 4.6, x: -0.993691
frame: 277, time: 4.61667, x: -0.995422
frame: 278, time: 4.63333, x: -0.996877
frame: 279, time: 4.65, x: -0.998054
frame: 280, time: 4.66667, x: -0.998955
frame: 281, time: 4.68333, x: -0.999578
frame: 282, time: 4.7, x: -0.999923
frame: 283, time: 4.71667, x: -0.999991
frame: 284, time: 4.73333, x: -0.999781
frame: 285, time: 4.75, x: -0.999293
frame: 286, time: 4.76667, x: -0.998527
frame: 287, time: 4.78333, x: -0.997485
frame: 288, time: 4.8, x: -0.996165
frame: 289, time: 4.81667, x: -0.994568
frame: 290, time: 4.83333, x: -0.992695
frame: 291, time: 4.85, x: -0.990547
frame: 292, time: 4.86667, x: -0.988123
frame: 293, time: 4.88333, x: -0.985425
frame: 294, time: 4.9, x: -0.982453
frame: 295, time: 4.91667, x: -0.979208
frame: 296, time: 4.93333, x: -0.975691
frame: 297, time: 4.95, x: -0.971903
frame: 298, time: 4.96667, x: -0.967845
frame: 299, time: 4.98333, x: -0.963519
frame: 300, time: 5, x: -0.958924
frame: 301, time: 5.01667, x: -0.954064
frame: 302, time: 5.03333, x: -0.948938
frame: 303, time: 5.05, x: -0.943549
frame: 304, time: 5.06667, x: -0.937897
frame: 305, time: 5.08333, x: -0.931985
frame: 306, time: 5.1, x: -0.925815
frame: 307, time: 5.11667, x: -0.919387
frame: 308, time: 5.13333, x: -0.912703
frame: 309, time: 5.15, x: -0.905767
frame: 310, time: 5.16667, x: -0.898578
